Continent,Year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis,Total Deaths,Population,Infectous deaths,Communicable deaths,Unnatural deaths,Preventable Deaths,Genetic caused Deaths,Physicains per 1000,death per 1000
Africa,1990,164325,29206,7856,201134,461265,28744,47948,75847,202401,1257,371441,825856,751991,647492,3833,40499,115,934895,4122,265710,82417,75909,74052,17353,194361,153991,136307,150762,229870,22385,23191,6226535,562752048,2985356,2821031,603798,4089179,1026173,0.210795162,11.32762198
Africa,1991,165277,30224,8075,199858,476831,28678,50707,75915,260888,1325,375593,840948,753099,652991,3923,41311,575,950206,4191,272580,42987,77955,75800,17307,193145,154374,138237,152552,232970,22385,23117,6324024,577251232,3080926,2915649,567621,4152042,1041825,0.216137816,11.28784105
Africa,1992,169113,31336,8333,200179,488114,28754,57509,76829,330379,1427,381754,860335,758635,660076,4040,42826,573,932037,4302,281016,14363,80769,77963,17556,193491,158182,140664,154987,237195,22732,23111,6438580,591811152,3159972,2990859,552443,4223297,1061530,0.225657105,11.17492249
Africa,1993,165602,32117,8505,194668,496115,28265,57054,76017,381833,1461,375706,871226,745396,659275,4031,42607,119,911334,4270,282088,20708,81567,78709,17271,188168,157695,140893,154796,237006,22463,22801,6459766,598098518,3174804,3009202,550612,4232038,1063552,0.234770838,11.10106866
Africa,1994,169231,33553,8892,196869,514788,28665,55913,77995,499521,1557,392558,900802,762525,675666,4194,44560,1701,934855,4431,295522,533449,85971,81921,17640,190288,161955,145384,159987,245105,22945,23225,7271668,620136345,3374698,3205467,1073879,4968240,1099604,0.245413288,12.84861078
Africa,1995,171081,34590,9132,194482,530223,28449,55783,77803,595159,1622,399934,915937,765538,684520,4282,45533,1150,923032,4540,302536,30256,88390,83503,17625,187964,162909,147496,161644,248116,22966,23377,6919572,634709289,3486147,3315066,569597,4579064,1119168,0.252288476,11.39358721
Africa,1996,185998,35722,9401,191037,547620,28075,57756,78201,693928,1679,402807,936473,762793,692232,4368,46296,475,920160,4608,310743,26441,92120,85505,17529,184632,163283,150071,163559,251284,22862,23421,7091079,651176778,3614928,3428930,564409,4706898,1140218,0.258731535,11.41052582
Africa,1997,175468,36882,9750,187810,565375,28171,59156,79761,793901,1793,405834,964805,764104,701398,4530,48570,3171,908136,4645,322643,61177,97322,88314,17634,181491,167986,153655,166883,256457,23202,23588,7303612,667721600,3716167,3540699,607845,4856111,1167995,0.25661221,11.50281363
Africa,1998,175280,38009,10042,185255,581120,27980,61731,81512,894297,1869,410260,984371,765396,710427,4618,50264,317,898339,4731,330817,70421,100731,90468,17739,179020,170449,156044,169930,261349,23445,23708,7479939,683926315,3829912,3654632,618819,4989514,1190026,0.267432843,11.46462023
Africa,1999,177228,39086,10264,181681,595857,27803,63085,83086,989161,1924,411809,999040,767211,718125,4630,51244,742,887730,4775,336984,96282,103033,92147,17804,175611,172250,156599,172340,265368,23399,23703,7650001,700385913,3935785,3758557,645619,5124674,1207492,0.273665722,11.54101366
Africa,2000,178295,40341,10530,176437,613872,27644,66034,83900,1075268,1995,416168,1007492,768811,725104,4665,52598,1404,871701,4837,344309,86750,106225,94080,17948,170651,174303,157743,173906,268379,23500,23697,7768587,717393326,4031712,3853417,638115,5213678,1226509,0.278707307,11.33033174
Africa,2001,179620,41613,10888,169864,638575,27346,65574,84677,1149700,2033,413307,1023845,763369,731615,4667,53398,1567,856992,4864,351338,30935,109192,96466,17817,164413,175697,159128,177456,272948,23611,23569,7826084,734980551,4109809,3930189,577373,5232168,1244646,0.270492873,11.16884169
Africa,2002,179614,43316,11391,165157,646670,27236,66090,86366,1210597,2092,410812,1045844,761954,739297,4724,54701,590,836579,4989,360884,33952,113147,99566,17958,159970,178435,161770,181676,279081,23762,22923,7931143,753158284,4155515,3975901,579686,5286809,1268035,0.263140275,11.05486057
Africa,2003,180360,44795,11845,157804,674557,27200,67181,88128,1255780,2141,408056,1066441,755118,747194,4792,55982,2847,811399,5017,370618,34918,117117,102625,17981,152852,180815,164250,186045,285037,23759,22238,8024892,771902695,4195636,4015276,580437,5328232,1291569,0.254672022,10.91238842
Africa,2004,179310,46374,12204,151820,680909,27054,69039,89741,1277643,2179,403343,1077173,748075,754404,4871,56889,1618,789649,5010,380027,32823,120446,104918,18075,147083,182667,165674,189067,289662,23935,21652,8053334,791234539,4190322,4011012,575980,5321875,1313455,0.270581547,10.66955905
Africa,2005,180627,47979,12548,148054,671003,27260,68011,90567,1263616,2223,395120,1085757,741179,763413,4931,57370,495,773532,5040,389042,19095,123828,106740,18214,143492,183513,166775,191247,293173,24168,21237,8019249,811080033,4136881,3956254,558374,5255253,1336810,0.254501265,10.38315885
Africa,2006,182901,49738,12984,142743,674321,27352,69030,90476,1214360,2275,390276,1102721,739468,767875,5013,57976,1521,771719,5086,400004,9118,128229,109274,18371,138338,185372,168700,192912,297312,24422,20787,8000674,831508506,4084308,3901407,548279,5194945,1358830,0.257204638,10.03319318
Africa,2007,182598,51216,13308,136501,677404,27265,68161,90006,1144130,2339,383157,1115195,731731,770969,5077,58185,1016,756113,5129,408977,8295,131356,111150,18396,132277,185872,169200,194439,300674,24564,20067,7924767,852703375,3985206,3802608,540800,5089297,1375826,0.265556196,9.683579319
Africa,2008,176202,53063,13789,130164,675841,26786,68100,88996,1061409,2424,376434,1136719,719154,771022,5151,58683,721,736209,5108,420329,10495,135235,113793,18280,126101,186264,170628,197001,304957,24473,19308,7832839,874642820,3853553,3677351,536649,4955774,1393438,0.268147164,9.338875323
Africa,2009,176532,54820,14248,123812,666702,26489,70043,88807,981197,2519,370283,1161650,707893,769534,5273,59406,665,720292,5124,434418,15041,139873,117166,18198,119857,187114,172580,200614,310562,24426,18763,7763901,897286257,3730469,3553937,538110,4838206,1412893,0.287547392,9.013234154
Africa,2010,171360,56670,14712,128788,655265,26181,69151,87983,915830,2575,362727,1182567,695393,767244,5377,59909,1269,699425,5114,447572,9434,144412,120274,18295,124584,187409,174414,204253,315861,24370,18355,7696773,920570083,3606338,3434978,537872,4727798,1430610,0.295737863,8.739511972
Africa,2011,162185,58659,15177,125443,626684,25736,70055,87174,855069,2655,354648,1203518,683269,764301,5507,60109,777,678117,5078,460582,16680,148390,122993,18026,121301,187619,175894,206964,321237,24272,18029,7606148,943966621,3465175,3302990,541957,4597283,1447109,0.304033232,8.479672619
Africa,2012,157993,60664,15700,111548,603416,25569,69305,85775,797867,2735,349767,1233659,676153,759421,5633,60673,1024,657477,5073,474641,11680,152791,126414,18058,107766,188761,178179,210706,327831,24334,17734,7518347,967891806,3346182,3188189,524393,4457939,1463217,0.307164228,8.190368489
Africa,2013,151886,62605,16253,109055,583789,25200,71056,84527,751016,2814,348100,1260739,673205,754242,5780,61099,975,644540,5102,488849,20896,156663,129817,18056,105285,188303,180791,212863,332967,24423,17440,7488336,992851888,3254503,3102617,532759,4381202,1478612,0.326248747,8.000443256
Africa,2014,149699,64346,16677,107511,552711,25310,74096,83627,717150,2926,348375,1289348,673033,747706,5927,61999,343,632532,5165,504508,33587,161907,134120,18176,103735,190038,183414,216174,338979,24669,17199,7484987,1018269499,3174326,3024627,549747,4328351,1495144,0.350049457,7.824745234
Africa,2015,143558,66451,17303,105260,529389,24999,73554,82313,693172,3017,346101,1334003,668501,739553,6050,62743,1039,617154,5301,520149,29500,167776,138770,18108,101473,191770,186361,219890,344912,24897,16897,7479964,1044090138,3097085,2953527,546238,4256445,1511232,0.361665379,7.621676631
Africa,2016,143862,68358,17732,104760,499941,24976,72888,81839,675869,3125,341457,1359973,663350,732193,6166,63652,1108,608453,5195,534892,19891,172444,142447,18188,100935,192753,188604,224353,352112,24924,16704,7463144,1069809103,3031475,2887613,537626,4193484,1525619,0.371040223,7.447094855
